food,Caloric_Value,Fat,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Iron
carp cooked,275,12.2,0,0,38.9,0,142.8,2.7
wolffish cooked,293,7.3,0,0,53.4,0,140.4,0.3
snapper cooked,218,2.9,0,0,44.7,0,79.9,0.4
roe cooked,58,2.3,0.5,0,8.1,0,135.6,0.2
anchovy raw,37,1.4,0,0,5.8,0,17,0.9
herring raw,291,16.6,0,0,33,0,110.4,2
cod raw,189,1.5,0,0,41.1,0,99.3,0.9
tilapia raw,111,2,0,0,23.3,0,58,0.6
whiting cooked,84,1.2,0,0,16.9,0,60.5,0.3
skipjack tuna cooked,407,4,0,0,86.9,0,184.8,4.9
salmon cooked,733,44,0,0,78.7,0,224.3,1.2
chum salmon cooked,474,14.9,0,0,79.5,0,292.6,2.2
american shad cooked,363,25.4,0,0,31.3,0,138.2,1.8
shark cooked,65,3.9,1.8,0,5.3,0,16.7,0.3
trout cooked,118,5.3,0,0,16.5,0,45.9,1.2
swordfish raw,196,9,0,0,26.7,0,89.8,0.5
rainbow trout cooked,119,5.2,0,0,16.9,0,49.7,0.093
fish sandwich with cheese,374,19.6,35.4,4.9,15.1,0,49.6,2.1
jellyfish dried,21,0.8,0,0,3.2,0,2.9,1.3
mullet raw,139,4.5,0,0,23,0,58.3,1.2
halibut cooked,353,5.1,0,0,71.7,0,190.8,0.095
lingcod raw,213,2.7,0,0,44.2,0,130,0.8
orange roughy cooked,30,0.3,0,0,6.4,0,22.6,0.3
cisco raw,77,1.5,0,0,15,0,39.5,0.3
florida pompano cooked,186,10.7,0,0,20.8,0,56.3,0.6
snapper raw,218,2.9,0,0,44.7,0,80.7,0.4
fish sandwich,565,27.4,58.7,7.8,22.6,0,77,0.2
haddock raw,143,0.9,0,0,31.5,0,104.2,0.3
ocean perch raw,51,1,0,0,9.8,0,33.3,0.1
cuttlefish cooked,45,0.4,0.5,0,9.2,0,63.4,3.1
cod cooked,189,1.5,0,0,41.1,0,99,0.9
seatrout raw,248,8.6,0,0,39.8,0,197.5,0.6
